run_name,run_id,best_iter
A1_no_pos_encoding,et6cq3h8,2500.0
A1_no_pos_encoding,lsdpxyd4,3000.0
A1_no_pos_encoding,n7lumvu8,3500.0
A1_no_pos_encoding,xqwm1e1v,3000.0
A2_rope,f1hcag99,1250.0
A2_rope,g77717h6,1250.0
A2_rope,tqiy2msj,1750.0
A2_rope,x595m9gw,1750.0
A3_alibi,kyg1ahnh,1250.0
A3_alibi,oh1vebbr,1500.0
A3_alibi,sxljepwb,1250.0
A3_alibi,v7v02id9,1250.0
B1_rmsnorm,1wotqmtu,1750.0
B1_rmsnorm,6jztinv6,2000.0
B1_rmsnorm,nd5xjid6,1750.0
B1_rmsnorm,v0vjfwv7,1750.0
B2_post_ln,1qjwf3pi,2250.0
B2_post_ln,nefvg8c5,2500.0
B2_post_ln,pe8x7qbf,2000.0
B2_post_ln,qrph5xpl,2250.0
C1_1_head,cktolbo8,3000.0
C1_1_head,hf9s97ue,2500.0
C1_1_head,iqwui6xz,2750.0
C1_1_head,y8iliv7w,3250.0
C2_8_heads,3uehyylr,1750.0
C2_8_heads,40fs0d2f,1750.0
C2_8_heads,615sx3sv,2000.0
C2_8_heads,fk58f1mb,2000.0
C3_12_heads,g4ay6776,1750.0
C3_12_heads,ldzl9or7,1500.0
C3_12_heads,nsy7i6nz,2000.0
C3_12_heads,uejraqki,2000.0
D1_relu,0zq8efq6,2000.0
D1_relu,f39fdb8c,2000.0
D1_relu,uqr8b9q8,2250.0
D1_relu,urfkn6c1,1750.0
D2_swiglu,9ub53315,1250.0
D2_swiglu,suvqluat,1500.0
D2_swiglu,t4aczc5k,1500.0
D2_swiglu,u0k7st3q,1500.0
E1_scaled_residual,cmsge3nv,2250.0
E1_scaled_residual,q71yvqap,1750.0
E1_scaled_residual,xbpmz0of,1500.0
E1_scaled_residual,xnn8dhqs,1750.0
E2_no_residuals,00n831x5,750.0
E2_no_residuals,07swdfwz,2750.0
E2_no_residuals,clmhvv0s,500.0
E2_no_residuals,xwg7b1g5,2500.0
F1_context_128,fwkjn1d4,2500.0
F1_context_128,qiz4l6rn,3750.0
F1_context_128,rwyr9wzu,3250.0
F1_context_128,wlydwq8r,3000.0
F2_context_512,78r0p6kp,1500.0
F2_context_512,8rlj5pys,1250.0
F2_context_512,narqzlgt,1250.0
F2_context_512,xoys2s0w,1500.0
G1_ternary_weights,c7vwq5c6,3750.0
G1_ternary_weights,cyeok0ie,4750.0
G1_ternary_weights,fvjuzhu0,4250.0
G1_ternary_weights,ixlmzt4p,5000.0
baseline,0tku5ah1,1500.0
baseline,0z5e2sya,1500.0
baseline,cpc0g0we,2000.0
baseline,en5jzpqb,1750.0
