pos_encoding,norm_type,n_head,val_loss_mean,val_loss_std,count,time_mean,time_std
alibi,layernorm,1,4.200945854187012,0.0,1,702.52,0.0
alibi,layernorm,6,4.20461368560791,0.0,1,855.39,0.0
alibi,none,1,4.17264461517334,0.0,1,629.98,0.0
alibi,none,6,4.17264461517334,0.0,1,857.62,0.0
learned,layernorm,1,4.282794952392578,0.0,2,711.075,7.672108575874017
learned,layernorm,6,4.282231330871582,0.0,2,842.665,5.932625894155084
learned,none,1,4.173848628997803,0.0,2,720.5699999999999,13.53402379191047
learned,none,6,4.173848628997803,0.0,2,823.615,2.2839549032325612
rope,layernorm,1,4.203027725219727,0.0,1,723.47,0.0
rope,layernorm,6,4.200528144836426,0.0,1,852.14,0.0
rope,none,1,4.17264461517334,0.0,1,709.34,0.0
rope,none,6,4.17264461517334,0.0,1,830.91,0.0
