lr,_step,_runtime,val/loss,train/loss,iter,_timestamp,train/step_loss,Sample Generation
9.900990099009901e-06,0,20.1949727,4.272347450256348,4.277299404144287,0.0,1779548259.2457135,,
,1,20.3863134,,,0.0,1779548259.437809,4.253467559814453,
,2,22.1125198,,,10.0,1779548261.164601,3.1521522998809814,
,3,23.8379855,,,20.0,1779548262.8895588,2.739776849746704,
,4,25.563546,,,30.0,1779548264.6156273,2.6208508014678955,
,5,27.2896207,,,40.0,1779548266.341702,2.57148814201355,
,6,29.0161162,,,50.0,1779548268.0681975,2.5220937728881836,
,7,30.7412766,,,60.0,1779548269.7915118,2.503479480743408,
,8,32.4659739,,,70.0,1779548271.5172224,2.4912471771240234,
,9,34.1911463,,,80.0,1779548273.2392328,2.4956259727478027,
,10,35.9174361,,,90.0,1779548274.9690118,2.4692893028259277,
,11,37.6421843,,,100.0,1779548276.6942656,2.464488983154297,
,12,39.3687971,,,110.0,1779548278.4201076,2.46279239654541,
,13,41.0946966,,,120.0,1779548280.1425905,2.4254822731018066,
,14,42.8190624,,,130.0,1779548281.8706393,2.4156441688537598,
,15,44.5444108,,,140.0,1779548283.5912027,2.417600154876709,
,16,46.2707039,,,150.0,1779548285.3177748,2.4160985946655273,
,17,47.9965242,,,160.0,1779548287.0486054,2.378067970275879,
,18,49.722532,,,170.0,1779548288.7746131,2.379749298095703,
,19,51.4475658,,,180.0,1779548290.4988267,2.3426737785339355,
,20,53.1725849,,,190.0,1779548292.224666,2.293736696243286,
,21,54.8976987,,,200.0,1779548293.94978,2.2633001804351807,
,22,56.6219893,,,210.0,1779548295.6740706,2.2040841579437256,
,23,58.3472643,,,220.0,1779548297.3987322,2.1979050636291504,
,24,60.072944,,,230.0,1779548299.123532,2.1277806758880615,
,25,61.799254,,,240.0,1779548300.8510194,2.1259965896606445,
0.0009979206008271391,26,83.6351138,2.1057286262512207,2.012319564819336,250.0,1779548322.6868076,,
,27,83.8135935,,,250.0,1779548322.8651147,2.071716070175171,
,28,85.5397102,,,260.0,1779548324.591283,2.019228458404541,
,29,87.2654791,,,270.0,1779548326.3175604,2.0064210891723633,
,30,88.9908986,,,280.0,1779548328.04298,2.0208981037139893,
,31,90.7184231,,,290.0,1779548329.770001,1.9429084062576294,
,32,92.4445107,,,300.0,1779548331.4957824,1.9289371967315674,
,33,94.1705549,,,310.0,1779548333.2221296,1.899736762046814,
,34,95.8964219,,,320.0,1779548334.9475007,1.8911526203155518,
,35,97.6225758,,,330.0,1779548336.6743047,1.8564460277557373,
,36,99.3484862,,,340.0,1779548338.4000604,1.8093037605285645,
,37,101.0738291,,,350.0,1779548340.1259103,1.859602451324463,
,38,102.9178622,,,360.0,1779548341.9699433,1.781723141670227,
,39,104.643125,,,370.0,1779548343.694703,1.7593374252319336,
,40,106.4176502,,,380.0,1779548345.4691865,1.7447673082351685,
,41,108.1927845,,,390.0,1779548347.244866,1.739837408065796,
,42,109.9206118,,,400.0,1779548348.9720352,1.7798867225646973,
,43,111.6479579,,,410.0,1779548350.6996088,1.7043858766555786,
,44,113.377952,,,420.0,1779548352.4289336,1.7165329456329346,
,45,115.1060199,,,430.0,1779548354.1571,1.6960556507110596,
,46,117.0009834,,,440.0,1779548356.0520642,1.6695988178253174,
,47,118.8009745,,,450.0,1779548357.8525493,1.6664950847625732,
,48,120.598994,,,460.0,1779548359.6510751,1.6073591709136963,
,49,122.3986681,,,470.0,1779548361.4507492,1.6610430479049683,
,50,124.1987137,,,480.0,1779548363.249915,1.6232366561889648,
,51,125.9973893,,,490.0,1779548365.044023,1.6019715070724487,
0.0009852826883675631,52,147.9842133,1.7322767972946167,1.5281989574432373,500.0,1779548387.0350654,,
,53,148.161901,,,500.0,1779548387.213982,1.5880095958709717,
,54,149.8873841,,,510.0,1779548388.9389498,1.6261335611343384,
,55,151.6137608,,,520.0,1779548390.6610432,1.5931228399276733,
,56,153.340133,,,530.0,1779548392.3917031,1.570631742477417,
,57,155.0664877,,,540.0,1779548394.117948,1.6201525926589966,
,58,156.7912328,,,550.0,1779548395.8427782,1.5616965293884277,
,59,158.5163094,,,560.0,1779548397.5675147,1.5661667585372925,
,60,160.2415411,,,570.0,1779548399.2936223,1.5639137029647827,
,61,161.9670183,,,580.0,1779548401.018312,1.5315083265304565,
,62,163.6924485,,,590.0,1779548402.7445297,1.495680570602417,
,63,165.4170803,,,600.0,1779548404.468613,1.5150964260101318,
,64,167.1430346,,,610.0,1779548406.1943326,1.5450745820999146,
,65,168.8692324,,,620.0,1779548407.92081,1.5218075513839722,
,66,170.6780975,,,630.0,1779548409.7296484,1.5066633224487305,
,67,172.5244546,,,640.0,1779548411.5765357,1.4529821872711182,
,68,174.3668439,,,650.0,1779548413.4181576,1.5042052268981934,
