_step,val/loss,train/loss,_timestamp,lr,iter,_runtime,train/step_loss,Sample Generation
0,5.513006687164307,5.520883560180664,1779609133.8031693,9.900990099009901e-06,0.0,19.0004601,,
1,,,1779609133.9670968,,0.0,19.1610299,5.1435322761535645,
2,,,1779609135.6291728,,10.0,20.8225978,4.244463920593262,
3,,,1779609137.1956518,,20.0,22.389077,3.3137636184692383,
4,,,1779609138.8576827,,30.0,24.0532546,3.3619256019592285,
5,,,1779609140.4552345,,40.0,25.6486596,3.321660041809082,
6,,,1779609142.1134906,,50.0,27.3074199,3.4652011394500732,
7,,,1779609143.7856047,,60.0,28.9790298,2.7432310581207275,
8,,,1779609145.5388324,,70.0,30.7322575,2.648559808731079,
9,,,1779609147.2045636,,80.0,32.3989824,2.550452709197998,
10,,,1779609148.8741279,,90.0,34.0681746,2.5134470462799072,
11,,,1779609150.4244747,,100.0,35.618404,2.50382399559021,
12,,,1779609152.115689,,110.0,37.3091141,2.4738452434539795,
13,,,1779609153.7154186,,120.0,38.9088438,2.483193874359131,
14,,,1779609155.314983,,130.0,40.5089129,2.473987102508545,
15,,,1779609157.012775,,140.0,42.2072028,2.4810314178466797,
16,,,1779609158.6142595,,150.0,43.8081277,2.420590877532959,
17,,,1779609160.3289564,,160.0,45.5226837,2.376709222793579,
18,,,1779609161.9679885,,170.0,47.1619212,2.362001657485962,
19,,,1779609163.7110128,,180.0,48.9082345,2.3389711380004883,
20,,,1779609165.4411576,,190.0,50.6351325,2.3129072189331055,
21,,,1779609167.1130216,,200.0,52.3064468,2.3068182468414307,
22,,,1779609168.7798052,,210.0,53.9738375,2.2526936531066895,
23,,,1779609170.4507036,,220.0,55.6448433,2.2451584339141846,
24,,,1779609172.120966,,230.0,57.3149407,2.2192296981811523,
25,,,1779609173.7935548,,240.0,58.9884192,2.189444065093994,
26,2.1626696586608887,2.097784996032715,1779609195.8562644,0.0009979206008271391,250.0,81.0537324,,
27,,,1779609196.027951,,250.0,81.2220343,2.180124282836914,
28,,,1779609197.6654348,,260.0,82.85885999999999,2.15267276763916,
29,,,1779609199.3041332,,270.0,84.4979636,2.099029541015625,
30,,,1779609200.9401543,,280.0,86.1339899,2.0782783031463623,
31,,,1779609202.5714474,,290.0,87.7727081,2.0492591857910156,
32,,,1779609204.2131665,,300.0,89.4109919,2.0322458744049072,
33,,,1779609205.9966638,,310.0,91.1906054,2.0132365226745605,
34,,,1779609207.6889083,,320.0,92.8823333,1.9592186212539673,
35,,,1779609209.3808525,,330.0,94.5748494,1.982222318649292,
36,,,1779609211.0736496,,340.0,96.2689671,1.921032428741455,
37,,,1779609212.7632732,,350.0,97.9575615,1.885389804840088,
38,,,1779609214.4538648,,360.0,99.6475946,1.9181580543518066,
39,,,1779609216.1428401,,370.0,101.3370837,1.8751060962677002,
40,,,1779609217.8350072,,380.0,103.0289378,1.8466722965240479,
41,,,1779609219.523007,,390.0,104.7164322,1.8007071018218994,
42,,,1779609221.217456,,400.0,106.4108812,1.8244495391845703,
