_step,_timestamp,train/loss,train/step_loss,lr,_runtime,val/loss,Sample Generation,iter
0,1779618861.9537764,4.319720268249512,,9.900990099009901e-06,21.37766,4.3208489418029785,,0.0
1,1779618862.1389794,,4.30178689956665,,21.5608234,,,0.0
2,1779618863.8958797,,3.1867716312408447,,23.3177237,,,10.0
3,1779618865.6588871,,2.7347567081451416,,25.0814576,,,20.0
4,1779618867.4294655,,2.626920223236084,,26.8513096,,,30.0
5,1779618869.3612614,,2.5520377159118652,,28.7839141,,,40.0
6,1779618871.248306,,2.513702869415283,,30.6706549,,,50.0
7,1779618873.14705,,2.4993772506713867,,32.5696673,,,60.0
8,1779618875.0386107,,2.5225014686584473,,34.4604546,,,70.0
9,1779618876.9246647,,2.4748692512512207,,36.3465088,,,80.0
10,1779618878.8200731,,2.456666946411133,,38.2427779,,,90.0
11,1779618880.7182782,,2.4506564140319824,,40.1412828,,,100.0
12,1779618882.6084912,,2.4231507778167725,,42.0313226,,,110.0
13,1779618884.4990516,,2.4305596351623535,,43.9215386,,,120.0
14,1779618886.3920507,,2.433042526245117,,45.8138946,,,130.0
15,1779618888.283584,,2.4160635471343994,,47.7059325,,,140.0
16,1779618890.179584,,2.3688416481018066,,49.6025069,,,150.0
17,1779618892.0755677,,2.35528564453125,,51.4974117,,,160.0
18,1779618893.9745789,,2.309053421020508,,53.3969262,,,170.0
19,1779618895.867473,,2.3248958587646484,,55.294302,,,180.0
20,1779618897.7607884,,2.2784366607666016,,57.1836213,,,190.0
21,1779618899.6530616,,2.2750244140625,,59.0749056,,,200.0
22,1779618901.5451715,,2.214740514755249,,60.9675208,,,210.0
23,1779618903.4411962,,2.2048332691192627,,62.8630402,,,220.0
24,1779618905.34085,,2.1730101108551025,,64.763198,,,230.0
25,1779618907.2375598,,2.1386630535125732,,66.6651941,,,240.0
26,1779618932.5779014,2.0190670490264893,,0.0009979206008271391,92.001051,2.1076667308807373,,250.0
27,1779618932.7674994,,2.1199724674224854,,92.1901198,,,250.0
28,1779618934.5939336,,2.0904440879821777,,94.0164139,,,260.0
29,1779618936.4177139,,2.0352630615234375,,95.8399821,,,270.0
30,1779618938.3299706,,1.990612268447876,,97.7518146,,,280.0
31,1779618940.2301211,,1.9802145957946777,,99.6526057,,,290.0
32,1779618942.1333256,,1.9437835216522217,,101.5563633,,,300.0
33,1779618944.0402024,,1.9290685653686523,,103.4627113,,,310.0
34,1779618945.9433806,,1.8770346641540527,,105.36573,,,320.0
35,1779618947.8480678,,1.8907943964004517,,107.2699118,,,330.0
36,1779618949.752261,,1.83922278881073,,109.1746707,,,340.0
37,1779618951.654782,,1.8047630786895752,,111.0811148,,,350.0
38,1779618953.5692296,,1.8383870124816895,,112.9944894,,,360.0
39,1779618955.4739606,,1.7914434671401978,,114.8968153,,,370.0
40,1779618957.386913,,1.7474299669265747,,116.8091807,,,380.0
41,1779618959.298632,,1.7162610292434692,,118.7209882,,,390.0
42,1779618961.2131207,,1.734302043914795,,120.6354696,,,400.0
43,1779618963.1205413,,1.7245899438858032,,122.542695,,,410.0
44,1779618965.0334105,,1.7021899223327637,,124.4552545,,,420.0
45,1779618966.944961,,1.6901617050170898,,126.3677139,,,430.0
46,1779618968.85811,,1.6746493577957153,,128.2799539,,,440.0
47,1779618970.7694385,,1.6563501358032227,,130.1966551,,,450.0
48,1779618972.6903937,,1.6301778554916382,,132.1127443,,,460.0
49,1779618974.5998662,,1.6261272430419922,,134.0236941,,,470.0
50,1779618976.520658,,1.6217979192733765,,135.9431497,,,480.0
51,1779618978.4376535,,1.6017990112304688,,137.8600045,,,490.0
52,1779619004.2110476,1.5267826318740845,,0.0009852826883675631,163.6384024,1.713071584701538,,500.0
53,1779619004.4138274,,1.591605544090271,,163.8361981,,,500.0
54,1779619006.2987769,,1.6077463626861572,,165.7206209,,,510.0
55,1779619008.183493,,1.5499520301818848,,167.6053369,,,520.0
56,1779619010.071701,,1.5198595523834229,,169.4943882,,,530.0
