_step,_runtime,train/loss,val/loss,_timestamp,iter,train/step_loss,Sample Generation,lr
0,17.8442815,4.359267711639404,4.354572772979736,1779561791.961451,0.0,,,9.900990099009901e-06
1,17.992163,,,1779561792.1099427,0.0,4.326701641082764,,
2,19.3887693,,,1779561793.503937,10.0,3.2235159873962402,,
3,20.7831269,,,1779561794.9019084,20.0,2.7605254650115967,,
4,22.2626056,,,1779561796.3804262,30.0,2.631507158279419,,
5,23.7823729,,,1779561797.9011543,40.0,2.5745484828948975,,
6,25.3028715,,,1779561799.4196424,50.0,2.5281455516815186,,
7,26.8245348,,,1779561800.9428103,60.0,2.516716480255127,,
8,28.3468765,,,1779561802.4651468,70.0,2.5062623023986816,,
9,29.8683376,,,1779561803.9819274,80.0,2.507228374481201,,
10,31.3900605,,,1779561805.508842,90.0,2.4726791381835938,,
11,32.9101901,,,1779561807.0277278,100.0,2.4803223609924316,,
12,34.4320145,,,1779561808.5462859,110.0,2.4704055786132812,,
13,35.9525801,,,1779561810.0707798,120.0,2.445491313934326,,
14,37.4743049,,,1779561811.5925798,130.0,2.439150333404541,,
15,38.9942829,,,1779561813.1130645,140.0,2.439370632171631,,
16,40.5151891,,,1779561814.6339707,150.0,2.4494717121124268,,
17,42.0350525,,,1779561816.1538339,160.0,2.431818962097168,,
18,43.5555598,,,1779561817.6738236,170.0,2.416930675506592,,
19,45.0754388,,,1779561819.1942203,180.0,2.410304069519043,,
20,46.5966887,,,1779561820.7149704,190.0,2.3993074893951416,,
21,48.1174321,,,1779561822.235907,200.0,2.366720199584961,,
22,49.6395285,,,1779561823.7577648,210.0,2.3283419609069824,,
23,51.1615053,,,1779561825.2785268,220.0,2.3683981895446777,,
24,52.6843945,,,1779561826.8026712,230.0,2.3190407752990723,,
25,54.2059403,,,1779561828.3208413,240.0,2.3380043506622314,,
26,74.8359442,2.2404935359954834,2.2802884578704834,1779561848.9538434,250.0,,,0.0009979206008271391
27,74.9823001,,,1779561849.1010816,250.0,2.296536684036255,,
28,76.3970401,,,1779561850.5148733,260.0,2.2714450359344482,,
29,77.823034,,,1779561851.9412944,270.0,2.2601099014282227,,
30,79.345125,,,1779561853.4597085,280.0,2.2746424674987793,,
31,80.8678522,,,1779561854.9859958,290.0,2.2345597743988037,,
32,82.39253,,,1779561856.5107923,300.0,2.21126651763916,,
33,83.9169819,,,1779561858.0353885,310.0,2.199589490890503,,
34,85.4397583,,,1779561859.5579035,320.0,2.179295539855957,,
35,86.9619847,,,1779561861.0807662,330.0,2.1621289253234863,,
36,88.4844897,,,1779561862.6032712,340.0,2.126255989074707,,
37,90.0082266,,,1779561864.1262605,350.0,2.1570208072662354,,
38,91.5334917,,,1779561865.651697,360.0,2.1009902954101562,,
39,93.0565304,,,1779561867.1753118,370.0,2.0864498615264893,,
40,94.5810677,,,1779561868.6993341,380.0,2.0561156272888184,,
41,96.1046793,,,1779561870.223461,390.0,2.0606634616851807,,
42,97.629498,,,1779561871.747775,400.0,2.073651075363159,,
43,99.1524868,,,1779561873.2707627,410.0,2.0221362113952637,,
44,100.6763897,,,1779561874.794665,420.0,2.055729389190674,,
45,102.1989233,,,1779561876.3177047,430.0,2.009159564971924,,
46,103.7230328,,,1779561877.8418143,440.0,1.9618644714355469,,
47,105.2470429,,,1779561879.3658245,450.0,1.9708056449890137,,
48,106.7706769,,,1779561880.8889554,460.0,1.9174623489379883,,
49,108.294252,,,1779561882.4130335,470.0,1.9731121063232422,,
50,109.8170291,,,1779561883.9350293,480.0,1.9152960777282715,,
51,111.3422307,,,1779561885.4605618,490.0,1.903791069984436,,
52,132.445483,1.8247393369674683,1.9648590087890625,1779561906.5616925,500.0,,,0.0009852826883675631
53,132.5984246,,,1779561906.716685,500.0,1.9030911922454834,,
54,134.0792265,,,1779561908.1975014,510.0,1.9076467752456665,,
55,135.5625673,,,1779561909.6813488,520.0,1.883015751838684,,
56,137.0469777,,,1779561911.1657593,530.0,1.864375352859497,,
57,138.5307614,,,1779561912.6471572,540.0,1.9033441543579102,,
58,140.0129981,,,1779561914.1314676,550.0,1.842869520187378,,
59,141.4975026,,,1779561915.6162841,560.0,1.873436689376831,,
60,142.9801799,,,1779561917.0980814,570.0,1.861615538597107,,
