run_name,seed,device,wandb_log,wandb_project,batch_size,block_size,max_iters,eval_interval,eval_iters,learning_rate,min_lr,warmup_iters,lr_decay_iters,weight_decay,grad_clip,vocab_size,bias,log_interval,n_layer,n_head,n_embd,dropout,norm_type,norm_placement,linear_type,pos_encoding,residual_type,activation_type,n_params,final_train_loss,final_val_loss,training_time_sec
baseline,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6336712837219238,1.7044485807418823,1188.47
A1_no_pos_encoding,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,none,standard,gelu,10646784,1.0956608057022095,1.583446979522705,1289.88
A2_rope,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,rope,standard,gelu,10646784,0.554075300693512,1.749888300895691,1462.75
A3_alibi,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,alibi,standard,gelu,10646784,0.5542314052581787,1.8170620203018188,2272.57
B1_rmsnorm,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,rmsnorm,pre,standard,learned,standard,gelu,10745088,0.6365488767623901,1.679567813873291,1591.92
B2_post_ln,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,post,standard,learned,standard,gelu,10745088,0.8410489559173584,1.5768132209777832,1317.15
C1_1_head,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,1,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.8994140028953552,1.525418996810913,1423.38
C2_8_heads,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,8,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6039950847625732,1.7189810276031494,1371.87
C3_12_heads,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,12,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6029002666473389,1.7346822023391724,1439.42
D1_relu,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,relu,10745088,0.7277424335479736,1.6198394298553467,1258.7
D2_swiglu,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,swiglu,10745088,0.546532928943634,1.868686318397522,1496.75
E1_scaled_residual,42,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,scaled,gelu,10745088,0.6272647976875305,1.7031036615371704,1465.62
