"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","batch_size","bias","block_size","device","dropout","eval_interval","eval_iters","grad_clip","learning_rate","linear_type","log_interval","lr_decay_iters","max_iters","min_lr","n_embd","n_head","n_layer","n_params","norm_placement","norm_type","pos_encoding","residual_type","run_name","seed","vocab_size","wandb_log","wandb_project","warmup_iters","weight_decay","iter","lr","train/loss","train/step_loss","val/loss"
"G1_ternary_weights","finished","-","","full","2026-05-25T14:08:33.000Z","732","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","ternary","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","G1_ternary_weights","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.038091778755188","1.124631643295288","1.4786324501037598"
"F2_context_512","finished","-","","full","2026-05-25T13:43:10.000Z","1521","","gelu","64","false","512","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10843392","pre","layernorm","learned","standard","F2_context_512","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.3324110507965088","0.6261779069900513","2.0293877124786377"
"F1_context_128","finished","-","","full","2026-05-25T13:37:27.000Z","337","","gelu","64","false","128","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10695936","pre","layernorm","learned","standard","F1_context_128","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9512298703193665","1.0607279539108276","1.4931862354278564"
"E2_no_residuals","finished","-","","full","2026-05-25T13:26:05.000Z","680","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","none","E2_no_residuals","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","3.3153717517852783","3.3089442253112793","3.3593099117279053"
"E1_scaled_residual","finished","-","","full","2026-05-25T13:13:44.000Z","738","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","scaled","E1_scaled_residual","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6540091633796692","0.8326122164726257","1.6803134679794312"
"D2_swiglu","finished","-","","full","2026-05-25T13:00:20.000Z","803","","swiglu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D2_swiglu","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5410283803939819","0.760930597782135","1.8857706785202024"
"D1_relu","finished","-","","full","2026-05-25T12:48:16.000Z","723","","relu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D1_relu","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.7373231649398804","0.891223669052124","1.6163253784179688"
"C3_12_heads","finished","-","","full","2026-05-25T12:35:18.000Z","753","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","12","6","10745088","pre","layernorm","learned","standard","C3_12_heads","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6207520961761475","0.8103262186050415","1.727922797203064"
"C2_8_heads","finished","-","","full","2026-05-25T12:22:33.000Z","763","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","8","6","10745088","pre","layernorm","learned","standard","C2_8_heads","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.611266553401947","0.7980095148086548","1.7144217491149902"
"C1_1_head","finished","-","","full","2026-05-25T12:09:36.000Z","775","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","1","6","10745088","pre","layernorm","learned","standard","C1_1_head","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.8998706340789795","1.0304545164108276","1.5201514959335327"
"B2_post_ln","finished","-","","full","2026-05-25T11:58:03.000Z","692","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","post","layernorm","learned","standard","B2_post_ln","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.8348947763442993","0.9658914804458618","1.5806834697723389"
"B1_rmsnorm","finished","-","","full","2026-05-25T11:43:07.000Z","895","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","rmsnorm","learned","standard","B1_rmsnorm","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6330646276473999","0.8209705948829651","1.6984707117080688"
"A3_alibi","finished","-","","full","2026-05-25T11:20:42.000Z","1343","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","alibi","standard","A3_alibi","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5353519916534424","0.7705314755439758","1.8102731704711912"
"A2_rope","finished","-","","full","2026-05-25T11:06:10.000Z","868","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","rope","standard","A2_rope","6242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5712676048278809","0.7868649363517761","1.7268010377883911"
